総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
10,4,0,6,0,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
0,0,5,1,1,1,2,0,0,0,0,0
うち重症者
0
男性,女性,不明
6,4,0
"",入院中,,,入院・療養等,死亡,退院,
"",,重症者,,,調整中,(累計),(累計)
"5,170",420,,,,,,
"",,,,,,,
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
43,112,309,412,94,172,152,226,188,164,245
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
459,177,225,250,143,98,80,139,275,154,134
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
141,42,14,17,29,6,72,9,36,53,17
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
21,20,13,12,6,1,22,6,15,15,2
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
37,12,5,7,46,1,1,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中,,
0,0,0,1,0,0,0,207,23,,
